1736Y-1340300000,NBH-BNW-AP638,D8:84:66:E2:43:87,149,1,172.21.69.87,NBH-A04-SW-BNW-Gi1/0/3
1736Y-1340400000,NBH-L7NE-AP617,D8:84:66:E2:43:8C,44,6,172.21.70.211,NBH-A25-SW-4NE-Gi1/0/6
1736Y-1340500000,NBH-GNE-AP059,D8:84:66:E2:43:91,44,1,172.21.70.190,NBH-A05-SW-GNE-Gi3/0/4
1736Y-1340600000,NBH-GSE-AP058,D8:84:66:E2:43:96,48,11,172.21.71.20,NBH-A08-SW-GSE-Gi3/0/16
1736Y-1340700000,NBH-GNE-AP057,D8:84:66:E2:43:9B,40,6,172.21.71.82,NBH-A05-SW-GNE-Gi2/0/5
1736Y-1340800000,NBH-L2SW-AP258,D8:84:66:E2:43:A0,161,1,172.21.71.52,NBH-A20-SW-2SW-Gi1/0/4
1736Y-1340900000,NBH-L3SW-AP341,D8:84:66:E2:43:A5,161,6,172.21.71.117,NBH-A24-SW-3SW-Gi1/0/4
1736Y-1341000000,NBH-L5SW-AP671,D8:84:66:E2:43:AA,161,11,172.21.71.3,NBH-A32-SW-5SW-Gi1/0/3
1736Y-1341100000,NBH-L7NE-AP616,D8:84:66:E2:43:AF,157,11,172.21.71.95,NBH-A37-SW-7NE-Gi1/0/3
1736Y-1341200000,NBH-GSE-AP061,D8:84:66:E2:43:B4,36,11,172.21.71.39,NBH-A08-SW-GSE-Gi4/0/17
1736Y-1341300000,NBH-L7NW-AP618,D8:84:66:E2:43:B9,161,6,172.21.70.208,NBH-A38-SW-7NW-Gi1/0/8
1736Y-1341400000,NBH-L5SE-AP484,D8:84:66:E2:43:BE,165,11,172.21.71.158,NBH-A31-SW-5SE-Gi3/0/4
1736Y-1341500000,NBH-GSW-AP060,D8:84:66:E2:43:C3,161,11,172.21.71.79,NBH-A09-SW-GSW-Gi5/0/10
1736Y-1341600000,NBH-GSW-AP062,D8:84:66:E2:43:C8,48,1,172.21.70.239,NBH-A09-SW-GSW-Gi1/0/1
1736Y-1341700000,NBH-L5SW-AP483,D8:84:66:E2:43:CD,149,1,172.21.70.175,NBH-A32-SW-5SW-Gi3/0/3
1736Y-1341800000,NBH-L1SW-AP155,D8:84:66:E2:43:D2,153,1,172.21.71.56,NBH-A16-SW-1SW-Gi4/0/1
1736Y-1341900000,NBH-L3SE-AP340,D8:84:66:E2:43:D7,auto,1,172.21.71.125,NBH-A23-SW-3SE-Gi3/0/2
1736Y-1342000000,NBH-L3SW-AP342,D8:84:66:E2:43:DC,149,11,172.21.71.135,NBH-A24-SW-3SW-Gi1/0/7
1736Y-1342100000,NBH-GNE-AP063,D8:84:66:E2:43:E1,36,1,172.21.71.30,NBH-A05-SW-GNE-Gi3/0/6
1736Y-1342200000,NBH-L5SW-AP485,D8:84:66:E2:43:E6,100,11,172.21.70.240,NBH-A32-SW-5SW-Gi2/0/3
1736Y-1342300000,NBH-L2SW-AP294,D8:84:66:E2:43:EB,165,11,172.21.71.53,NBH-A20-SW-2SW-Gi5/0/5
1736Y-1342400000,NBH-L7NW-AP613,D8:84:66:E2:43:F0,165,11,172.21.71.80,NBH-A38-SW-7NW-Gi1/0/7
1736Y-1342500000,NBH-L2NW-AP295,D8:84:66:E2:43:F5,36,6,172.21.71.134,NBH-A18-SW-2NW-Gi2/0/3
1736Y-1342600000,NBH-L2NW-AP293,D8:84:66:E2:43:FA,44,1,172.21.70.242,NBH-A18-SW-2NW-Gi2/0/1
1736Y-1342700000,NBH-GSE-AP064,D8:84:66:E2:43:FF,149,6,172.21.71.97,NBH-A08-SW-GSE-Gi3/0/17
1736Y-1342800000,NBH-L2NE-AP259,D8:84:66:E2:44:04,100,11,172.21.71.50,NBH-A17-SW-2NE-Gi1/0/2
